INVS_PLN_ARR_PRD_SEQ_NUM,INVST_PLAN_ARR_SEQ_NUM,PROD_ALT_NUM,PROD_CDE_ALT_CLASS_CDE,CTRY_PROD_TRADE_CDE,ASET_CLASS_CDE,LAST_INGESTION_TIMESTAMP,PRM_LNE_OF_BUS_CDE_FILTER,CTRY_CDE_FILTER,ENTITY_CDE_FILTER
17894562166,78944785617,105239,152367,45781935741, qydt127 ,Current_timestamp  , 147uc47 ,  SAP10327T , 57SAT1  
17894789289,78948745920,105879,157257,45984984741, qydt194 ,Current_timestamp  , 147mc47 ,  SAP11229T , 57SAP1  
17897894589,7897894617,106939,157897,45986516741, qydt187 ,Current_timestamp  , 147ln47 ,  SAP16929T , 57SAT2  
17894578189,7898079619,106939,158947,45984194863, qydt204 ,Current_timestamp  , 147kc47 ,  SAP15429, 57SAT1  
17894578190,7898079620,106940,158948,45984194864, qydt205,Current_timestamp  , 147kc48,  SAP15430, 57SAT2
17894578191,7898079621,106941,158949,45984194865, qydt206,Current_timestamp  , 147kc49,  SAP15431, 57SAT3
17894578192,7898079622,106942,158950,45984194866, qydt207,Current_timestamp  , 147kc50,  SAP15432, 57SAT4
17894578193,7898079623,106943,158951,45984194867, qydt208,Current_timestamp  , 147kc51,  SAP15433, 57SAT5
17894578194,7898079624,106944,158952,45984194868, qydt209,Current_timestamp  , 147kc52,  SAP15434, 57SAT6
17894578195,7898079625,106945,158953,45984194869, qydt210,Current_timestamp  , 147kc53,  SAP15435, 57SAT7
17894578196,7898079626,106946,158954,45984194870, qydt211,Current_timestamp  , 147kc54,  SAP15436, 57SAT8
17894578197,7898079627,106947,158955,45984194871, qydt212,Current_timestamp  , 147kc55,  SAP15437, 57SAT9
17894578198,7898079628,106948,158956,45984194872, qydt213,Current_timestamp  , 147kc56,  SAP15438, 57SAT10
17894578199,7898079629,106949,158957,45984194873, qydt214,Current_timestamp  , 147kc57,  SAP15439, 57SAT11
17894578200,7898079630,106950,158958,45984194874, qydt215,Current_timestamp  , 147kc58,  SAP15440, 57SAT12
17894578201,7898079631,106951,158959,45984194875, qydt216,Current_timestamp  , 147kc59,  SAP15441, 57SAT13
17894578202,7898079632,106952,158960,45984194876, qydt217,Current_timestamp  , 147kc60,  SAP15442, 57SAT14
17894578203,7898079633,106953,158961,45984194877, qydt218,Current_timestamp  , 147kc61,  SAP15443, 57SAT15
17894578204,7898079634,106954,158962,45984194878, qydt219,Current_timestamp  , 147kc62,  SAP15444, 57SAT16
17894578205,7898079635,106955,158963,45984194879, qydt220,Current_timestamp  , 147kc63,  SAP15445, 57SAT17
17894578206,7898079636,106956,158964,45984194880, qydt221,Current_timestamp  , 147kc64,  SAP15446, 57SAT18
17894578207,7898079637,106957,158965,45984194881, qydt222,Current_timestamp  , 147kc65,  SAP15447, 57SAT19
17894578208,7898079638,106958,158966,45984194882, qydt223,Current_timestamp  , 147kc66,  SAP15448, 57SAT20
17894578209,7898079639,106959,158967,45984194883, qydt224,Current_timestamp  , 147kc67,  SAP15449, 57SAT21
17894578210,7898079640,106960,158968,45984194884, qydt225,Current_timestamp  , 147kc68,  SAP15450, 57SAT22
17894578211,7898079641,106961,158969,45984194885, qydt226,Current_timestamp  , 147kc69,  SAP15451, 57SAT23
17894578212,7898079642,106962,158970,45984194886, qydt227,Current_timestamp  , 147kc70,  SAP15452, 57SAT24
17894578213,7898079643,106963,158971,45984194887, qydt228,Current_timestamp  , 147kc71,  SAP15453, 57SAT25
17894578214,7898079644,106964,158972,45984194888, qydt229,Current_timestamp  , 147kc72,  SAP15454, 57SAT26
17894578215,7898079645,106965,158973,45984194889, qydt230,Current_timestamp  , 147kc73,  SAP15455, 57SAT27
17894578216,7898079646,106966,158974,45984194890, qydt231,Current_timestamp  , 147kc74,  SAP15456, 57SAT28
17894578217,7898079647,106967,158975,45984194891, qydt232,Current_timestamp  , 147kc75,  SAP15457, 57SAT29
17894578218,7898079648,106968,158976,45984194892, qydt233,Current_timestamp  , 147kc76,  SAP15458, 57SAT30
17894578219,7898079649,106969,158977,45984194893, qydt234,Current_timestamp  , 147kc77,  SAP15459, 57SAT31
17894578220,7898079650,106970,158978,45984194894, qydt235,Current_timestamp  , 147kc78,  SAP15460, 57SAT32
17894578221,7898079651,106971,158979,45984194895, qydt236,Current_timestamp  , 147kc79,  SAP15461, 57SAT33
17894578222,7898079652,106972,158980,45984194896, qydt237,Current_timestamp  , 147kc80,  SAP15462, 57SAT34
17894578223,7898079653,106973,158981,45984194897, qydt238,Current_timestamp  , 147kc81,  SAP15463, 57SAT35
17894578224,7898079654,106974,158982,45984194898, qydt239,Current_timestamp  , 147kc82,  SAP15464, 57SAT36
17894578225,7898079655,106975,158983,45984194899, qydt240,Current_timestamp  , 147kc83,  SAP15465, 57SAT37
17894578226,7898079656,106976,158984,45984194900, qydt241,Current_timestamp  , 147kc84,  SAP15466, 57SAT38
17894578227,7898079657,106977,158985,45984194901, qydt242,Current_timestamp  , 147kc85,  SAP15467, 57SAT39
17894578228,7898079658,106978,158986,45984194902, qydt243,Current_timestamp  , 147kc86,  SAP15468, 57SAT40
17894578229,7898079659,106979,158987,45984194903, qydt244,Current_timestamp  , 147kc87,  SAP15469, 57SAT41
17894578230,7898079660,106980,158988,45984194904, qydt245,Current_timestamp  , 147kc88,  SAP15470, 57SAT42
17894578231,7898079661,106981,158989,45984194905, qydt246,Current_timestamp  , 147kc89,  SAP15471, 57SAT43
17894578232,7898079662,106982,158990,45984194906, qydt247,Current_timestamp  , 147kc90,  SAP15472, 57SAT44
17894578233,7898079663,106983,158991,45984194907, qydt248,Current_timestamp  , 147kc91,  SAP15473, 57SAT45
17894578234,7898079664,106984,158992,45984194908, qydt249,Current_timestamp  , 147kc92,  SAP15474, 57SAT46
17894578235,7898079665,106985,158993,45984194909, qydt250,Current_timestamp  , 147kc93,  SAP15475, 57SAT47
17894578236,7898079666,106986,158994,45984194910, qydt251,Current_timestamp  , 147kc94,  SAP15476, 57SAT48
