ACCT_EXTNL_NUM,SYS_EXTNL_CDE,CTRY_INVST_ACCT_CDE,GRP_MEMBR_INVST_ACCT_CDE,SRCE_SYS_NAME,ACCT_MIG_FUND_IND,LAST_INGESTION_TIMESTAMP,PRM_LNE_OF_BUS_CDE_FILTER,CTRY_CDE_FILTER,ENTITY_CDE_FILTER
594562166,152367,45781935741,457167, qydt127 , account ,Current_timestamp  , 147uc47 ,  SAP10327T , 57SAT1  
549947892,157257,45984984741,478945, qydt194 , current_account ,Current_timestamp  , 147mc47 ,  SAP11229T , 57SAP1  
597894589,157897,45986516741,478125, qydt187 , account , Current_timestamp  , 147ln47 ,  SAP16929T , 57SAT2  
554578189,158947,45984194863,745525, qydt204 , account ,Current_timestamp  , 147kc47 ,  SAP15429, 57SAT1  
554578190,158948,45984194864,745526, qydt205, account ,Current_timestamp  , 147kc48,  SAP15430, 57SAT2
554578191,158949,45984194865,745527, qydt206, account ,Current_timestamp  , 147kc49,  SAP15431, 57SAT3
554578192,158950,45984194866,745528, qydt207, account ,Current_timestamp  , 147kc50,  SAP15432, 57SAT4
554578193,158951,45984194867,745529, qydt208, account ,Current_timestamp  , 147kc51,  SAP15433, 57SAT5
554578194,158952,45984194868,745530, qydt209, account ,Current_timestamp  , 147kc52,  SAP15434, 57SAT6
554578195,158953,45984194869,745531, qydt210, account ,Current_timestamp  , 147kc53,  SAP15435, 57SAT7
554578196,158954,45984194870,745532, qydt211, account ,Current_timestamp  , 147kc54,  SAP15436, 57SAT8
554578197,158955,45984194871,745533, qydt212, account ,Current_timestamp  , 147kc55,  SAP15437, 57SAT9
554578198,158956,45984194872,745534, qydt213, account ,Current_timestamp  , 147kc56,  SAP15438, 57SAT10
554578199,158957,45984194873,745535, qydt214, account ,Current_timestamp  , 147kc57,  SAP15439, 57SAT11
554578200,158958,45984194874,745536, qydt215, account ,Current_timestamp  , 147kc58,  SAP15440, 57SAT12
554578201,158959,45984194875,745537, qydt216, account ,Current_timestamp  , 147kc59,  SAP15441, 57SAT13
554578202,158960,45984194876,745538, qydt217, account ,Current_timestamp  , 147kc60,  SAP15442, 57SAT14
554578203,158961,45984194877,745539, qydt218, account ,Current_timestamp  , 147kc61,  SAP15443, 57SAT15
554578204,158962,45984194878,745540, qydt219, account ,Current_timestamp  , 147kc62,  SAP15444, 57SAT16
554578205,158963,45984194879,745541, qydt220, account ,Current_timestamp  , 147kc63,  SAP15445, 57SAT17
554578206,158964,45984194880,745542, qydt221, account ,Current_timestamp  , 147kc64,  SAP15446, 57SAT18
554578207,158965,45984194881,745543, qydt222, account ,Current_timestamp  , 147kc65,  SAP15447, 57SAT19
554578208,158966,45984194882,745544, qydt223, account ,Current_timestamp  , 147kc66,  SAP15448, 57SAT20
554578209,158967,45984194883,745545, qydt224, account ,Current_timestamp  , 147kc67,  SAP15449, 57SAT21
554578210,158968,45984194884,745546, qydt225, account ,Current_timestamp  , 147kc68,  SAP15450, 57SAT22
554578211,158969,45984194885,745547, qydt226, account ,Current_timestamp  , 147kc69,  SAP15451, 57SAT23
554578212,158970,45984194886,745548, qydt227, account ,Current_timestamp  , 147kc70,  SAP15452, 57SAT24
554578213,158971,45984194887,745549, qydt228, account ,Current_timestamp  , 147kc71,  SAP15453, 57SAT25
554578214,158972,45984194888,745550, qydt229, account ,Current_timestamp  , 147kc72,  SAP15454, 57SAT26
554578215,158973,45984194889,745551, qydt230, account ,Current_timestamp  , 147kc73,  SAP15455, 57SAT27
554578216,158974,45984194890,745552, qydt231, account ,Current_timestamp  , 147kc74,  SAP15456, 57SAT28
554578217,158975,45984194891,745553, qydt232, account ,Current_timestamp  , 147kc75,  SAP15457, 57SAT29
554578218,158976,45984194892,745554, qydt233, account ,Current_timestamp  , 147kc76,  SAP15458, 57SAT30
554578219,158977,45984194893,745555, qydt234, account ,Current_timestamp  , 147kc77,  SAP15459, 57SAT31
